kata,bobot
dlu,-0.24738898145141805
daftar layan,-0.24729859844850335
izin,-0.24635283368728256
troble,-0.245306928811485
diupdate,-0.2452245852798253
kontrol,-0.24480993878457027
rekam,-0.24391661848734422
pegawai,-0.24383733633637814
jlk,-0.24377310231304547
kode verifikasi,-0.24266827239842226
donk,-0.24193148166219924
kga,-0.24181078443391174
kecewa layan,-0.24172148908922914
launching,-0.24159401210486225
obat sulit,-0.2413589055757044
ama,-0.24032926755668665
tolong benah,-0.23940200286402186
blokir,-0.23894502010908153
maksa,-0.23887844915889023
baik cepat,-0.23866301879662252
tangguh,-0.23863294285880415
pelihara,-0.23808605273557013
buat perintah,-0.23772520778821066
anjir,-0.2376761730004351
cuih,-0.23763052784775693
fix,-0.23755861020831903
harus,-0.23680967021426663
susah banget,-0.23668780823562896
low,-0.2366240489348447
parahh,-0.23602360696504335
gmail,-0.2346853431148992
layan lambat,-0.23435789689056927
haduh,-0.23417326136974345
nyata,-0.23344496683897326
stres,-0.2332395954419539
capchanya,-0.2330724050299599
apikasi,-0.2328949870190245
ngerti,-0.23264533137179264
buru,-0.2325898212953006
aplikasi daftar,-0.23253713466085307
kirim otp,-0.23244981008386345
usaha,-0.23231712849085331
tai,-0.23166737651166994
pagi,-0.23067951189186806
ajaa,-0.23058888657358978
susah obat,-0.23045851375721607
tgl,-0.23001418356466347
kog,-0.2299328385194344
mala,-0.2294792976978135
pea,-0.22864860860523484
situ,-0.2279043705754345
verikasi,-0.2277465581012006
kualitas,-0.227472789835259
nasional,-0.2271024696962008
ribet ribet,-0.22694684739013166
boking,-0.22689598791061305
rilis,-0.22689217132441203
duluan,-0.2264473478940876
kolom,-0.22639359871083353
nomor telepon,-0.22632349872543533
bocor,-0.22567138702746078
bkin,-0.2255831676503167
kk,-0.22494252231027007
buka baru,-0.22439592322840268
kutu baik,-0.2243929902261538
dikit baru,-0.22394703419806322
susah rakyat,-0.22387138427604159
susah mudah,-0.2236522857174401
bagong,-0.2234268817344585
cok,-0.22268815746070356
fasilitas gagal,-0.22254435352380447
make,-0.22189585337107837
captcha muter,-0.22165472369504044
darah,-0.22160555059719883
eror baik,-0.22131466203682865
online fasilitas,-0.2211756385417073
dosa,-0.22096466534914064
gausah,-0.2209500207942653
putih,-0.2206825178184044
request,-0.2202465785127689
guna lansia,-0.2194238236646439
coba kali,-0.21939141202459236
mbanking,-0.21935523376874885
silah coba,-0.21934796672399662
pol gigi,-0.2192811658265828
susahh,-0.21919451132612894
bugnya,-0.2190803556678636
terima sms,-0.21832695868115035
pd,-0.21832462840436723
donwload,-0.21826436787383158
gamasuk,-0.2179376593750701
mw,-0.21741815278360727
riset,-0.2167592970007346
ngawur,-0.21663924672260654
capta,-0.21651281941240874
keluar,-0.21628663055069267
mentang,-0.21627130056182953
signal,-0.21578578422147227
ampassss,-0.21568858513771608
sebab,-0.21520371889311868
koneksi internet,-0.21444954581212541
gada,-0.21434291163898622
antre jam,-0.21347256594628894
daftar serta,-0.21345671322166848
ribet mudah,-0.2133861244348902
apasih,-0.2128577105613542
fasilitas fasilitas,-0.2127636886481004
bentar,-0.21264878641973387
mudah verifikasi,-0.21235520968075033
baik eror,-0.21198803803394273
ribet aja,-0.21196817334466403
jadul,-0.21160731927701035
baik nyaman,-0.21105601766685073
gaada,-0.21030017844336854
sesi,-0.21027812390920553
errornya,-0.21006982471399333
daftar online,-0.20967407088236695
ko,-0.20927512862039532
jujur,-0.2089719640364458
valid,-0.2086673262896871
tuju,-0.20860069118529292
deteksi,-0.20838535209492304
sulit obat,-0.20787115047380159
pol,-0.20775961637548007
dadak,-0.20766565224085556
ribet pake,-0.20763786556512104
balas,-0.20760553307790935
nunggu otp,-0.20697614436187622
pw,-0.2064980618180921
april,-0.20646512381027426
semenjak baru,-0.20645156527015185
apal,-0.20635442385854497
daftar kali,-0.20587700176120483
terusss,-0.20579159164239447
daftar hasil,-0.20576589183328
bahaya,-0.2053680009965047
bisa,-0.2048770509462434
harap baik,-0.2047327313347421
waras,-0.20432983712301267
kritik,-0.20405818670861112
kirain,-0.20404864549108426
payahh,-0.20402518225040928
baik biar,-0.2036332595737017
kode otpnya,-0.20350233686099617
selesai,-0.20344214108637595
capture,-0.20310453092640993
tau tau,-0.20266198903090055
control,-0.2026345352597111
kunjung,-0.20256598645821178
nol,-0.2022942246695571
dengar,-0.20220397372982318
buang waktu,-0.20172136097542695
gx,-0.2017183004268552
fasilitas rujuk,-0.20135359184957086
reservasi,-0.20100302539223053
maksud,-0.20100110445157568
mas,-0.20084974530098718
kunci,-0.20075577695813374
antre penuh,-0.20059028918734373
payahhh,-0.200425857364427
laden rumah,-0.20025485622426065
ribet kudu,-0.19970438470164828
gapernah,-0.19970222553596323
nongol,-0.1996349008591444
gbisa,-0.19907004342490278
verfikasi,-0.19885851608685315
ken,-0.1987039488443645
fasilitas aja,-0.19864151856201437
